pos00,pos01,pos02,pos10,pos11,pos12,pos20,pos21,pos22,player,step,result,game_id,state
1,0,0,0,0,0,0,0,0,1,0,1,897,start
1,-1,0,0,0,0,0,0,0,-1,1,1,897,mid
1,-1,1,0,0,0,0,0,0,1,2,1,897,mid
1,-1,1,0,0,-1,0,0,0,-1,3,1,897,mid
1,-1,1,0,0,-1,1,0,0,1,4,1,897,mid
1,-1,1,0,0,-1,1,0,-1,-1,5,1,897,mid
1,-1,1,1,0,-1,1,0,-1,1,6,1,897,end
0,0,0,0,1,0,0,0,0,1,0,1,898,start
0,0,0,0,1,-1,0,0,0,-1,1,1,898,mid
0,0,0,0,1,-1,0,1,0,1,2,1,898,mid
-1,0,0,0,1,-1,0,1,0,-1,3,1,898,mid
-1,1,0,0,1,-1,0,1,0,1,4,1,898,end
0,0,0,0,0,0,0,0,1,1,0,-1,899,start
-1,0,0,0,0,0,0,0,1,-1,1,-1,899,mid
-1,0,0,1,0,0,0,0,1,1,2,-1,899,mid
-1,0,0,1,0,0,-1,0,1,-1,3,-1,899,mid
-1,0,0,1,0,0,-1,1,1,1,4,-1,899,mid
-1,0,0,1,-1,0,-1,1,1,-1,5,-1,899,mid
-1,1,0,1,-1,0,-1,1,1,1,6,-1,899,mid
-1,1,-1,1,-1,0,-1,1,1,-1,7,-1,899,end
0,0,0,0,1,0,0,0,0,1,0,-1,900,start
-1,0,0,0,1,0,0,0,0,-1,1,-1,900,mid
-1,0,0,0,1,0,0,0,1,1,2,-1,900,mid
-1,0,0,-1,1,0,0,0,1,-1,3,-1,900,mid
-1,0,0,-1,1,0,0,1,1,1,4,-1,900,mid
-1,0,0,-1,1,0,-1,1,1,-1,5,-1,900,end
0,0,0,0,1,0,0,0,0,1,0,0,901,start
0,-1,0,0,1,0,0,0,0,-1,1,0,901,mid
0,-1,1,0,1,0,0,0,0,1,2,0,901,mid
0,-1,1,-1,1,0,0,0,0,-1,3,0,901,mid
0,-1,1,-1,1,1,0,0,0,1,4,0,901,mid
0,-1,1,-1,1,1,0,0,-1,-1,5,0,901,mid
1,-1,1,-1,1,1,0,0,-1,1,6,0,901,mid
1,-1,1,-1,1,1,-1,0,-1,-1,7,0,901,mid
1,-1,1,-1,1,1,-1,1,-1,1,8,0,901,end
